name,price,camera,battery,performance,image
iPhone 13,70000,"12MP",3227mAh,"A15 Bionic",""
OnePlus Nord 3,29999,"50MP",5000mAh,"Dimensity 9000",""
Redmi Note 12,18000,"48MP",5000mAh,"Snapdragon 4 Gen 1",""
Samsung Galaxy S23,79999,"50MP",3900mAh,"Snapdragon 8 Gen 2",""
Google Pixel 7a,43999,"64MP",4385mAh,"Google Tensor G2",""
Realme 11 Pro+,27999,"200MP",5000mAh,"Dimensity 7050",""
iQOO Neo 9 Pro,34999,"50MP",5160mAh,"Snapdragon 8 Gen 2",""
Vivo V29,32999,"50MP",4600mAh,"Snapdragon 778G",""
Poco X6 Pro,24999,"64MP",5000mAh,"Dimensity 8300 Ultra",""
Motorola Edge 40,29999,"50MP",4400mAh,"Dimensity 8020",""
Samsung Galaxy A34,27999,"48MP",5000mAh,"Dimensity 1080",""
Oppo Reno10,32999,"64MP",5000mAh,"Snapdragon 778G",""
Infinix Zero 30,18999,"108MP",5000mAh,"Dimensity 8020",""
Nothing Phone (2),44999,"50MP",4700mAh,"Snapdragon 8+ Gen 1",""
